id,name,storage_location,temperature,duration,notes,good_pairs,bad_pairs,cooking_methods,verified,pairing_verified
119,마요네즈,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 냉장 2~3개월,계란 성분 있음. 반드시 냉장. 이중 스쿱 금지(오염),계란 / 참치 / 감자,-,드레싱 / 소스 / 무침,✓,✓
120,만두,냉동,-18℃ 이하,6~9개월,냉동 제품이 일반적. 해동 후 재냉동 금지,초간장 / 김치 / 떡국떡,-,찜 / 튀김 / 국,✓,✓
121,만두피,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 3~5일 / 냉동 2~3개월,생 반죽. 밀봉 보관,다진 돼지고기 / 부추 / 두부 / 김치,-,만두 빚기 / 튀김 / 찜,✓,✓
122,맛살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,개봉 전 유통기한 / 개봉 후 3~5일 / 냉동 1~2개월,어육가공품. 개봉 후 빠른 사용,오이 / 마요네즈 / 계란,-,샐러드 / 김밥 속 / 볶음,✓,✓
123,맛소금,실온,밀폐 건냉소,무기한(밀폐 시),밀폐 보관. 습기 주의,구이 / 나물 무침 / 국물,-,간 맞춤 / 양념,✓,✓
124,맛술,실온,건냉소,개봉 전 2~3년 / 개봉 후 1년,알코올 성분. 직사광선 피하기,생선 / 고기 재움 / 조림 양념,-,재움 / 조림 / 양념,✓,✓
125,망고,실온(숙성) → 냉장(후숙 완료 후),숙성 18℃ / 후숙 후 냉장 10℃,실온 3~4일 숙성 / 후숙 후 냉장 3~5일,농진청: 18℃에서 3~4일 숙성. 후숙 완료 시 신문지에 싸서 냉장,요거트 / 찹쌀 / 라임,-,생식 / 스무디 / 샐러드,✓,✓
126,망고주스,실온(미개봉)/냉장,실온 / 냉장 0~4℃,개봉 전 유통기한 / 개봉 후 냉장 7~10일,개봉 후 밀봉 냉장,요거트 / 탄산수,-,음용 / 칵테일,✓,✓
127,매생이,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 2~3일 / 냉동 3~6개월,겨울 해조류. 한번 먹을 양씩 소분 냉동. 해동 후 즉시 조리,굴 / 두부 / 청양고추,-,국 / 전 / 떡국,✓,✓
128,매실,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1~2주 / 냉동 6개월,생매실은 빠른 사용. 청 담그기 용도,설탕 / 소주 / 고추장,-,청 담그기 / 장아찌 / 술,✓,✓
129,매실청,냉장,0~10℃,1~2년,발효 진행. 냉장 필수,고기 양념 / 탄산수 / 드레싱,-,양념 / 음료 / 드레싱,✓,✓
130,맥주,실온/냉장,실온 건냉소 / 냉장,캔·병 1년 / 페트·생맥주 6개월,품질유지기한. 직사광선 피하기. 개봉 후 빠른 섭취,치킨 / 소시지 / 프레첼,땅콩·새우·조개,음용 / 반죽 / 조림,✓,✓
131,머스타드,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 1년,산도 높아 저장성 좋음. 개봉 후 냉장,햄 / 소시지 / 감자,-,소스 / 드레싱 / 양념,✓,✓
132,멍게,냉장,0~4℃,구입 당일,살아있을 때 구입. 회용. 냉동 비권장(맛 손실),초고추장 / 밥 / 참기름,-,회 / 비빔밥 / 무침,✓,✓
133,메밀면,실온/냉장,밀폐 건냉소 / 냉장,건면 실온 1~2년 / 생면 냉장 3~5일,건면이 일반적,무즙 / 쯔유 / 김,-,삶기 / 비빔 / 냉면,✓,✓
134,메이플시럽,실온/냉장,실온 건냉소(미개봉) / 냉장,개봉 전 1년 / 개봉 후 냉장 1년,천연 시럽. 개봉 후 반드시 냉장,팬케이크 / 와플 / 베이컨,-,시럽 / 드레싱 / 마리네이드,✓,✓
135,메추리알,냉장,0~5℃ 이하,산란일부터 3~5주,식약처 계란 기준 준용. 씻지 않고 보관,간장 / 멸치 / 피망,-,삶기 / 장조림 / 꼬치,✓,✓
136,멜론,실온→냉장,실온 / 후숙 후 냉장 2~5℃,실온 숙성 / 후숙 후 냉장 1주,농진청: 2~5℃ 저장. 후숙 완료 후 냉장,프로슈토 / 요거트,-,생식 / 주스 / 화채,✓,✓
137,멸치,실온/냉장/냉동,밀폐 건냉소 / 냉장 / 냉동,실온 1~2개월 / 냉장 6개월 / 냉동 1년,건조 멸치. 냉장·냉동 권장. 산패 주의,견과류 / 고추장 / 다시마,-,국물 / 볶음 / 무침,✓,✓
138,멸치액젓,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 2~3년 / 개봉 후 냉장 1~2년,발효식품. 개봉 후 냉장 권장,김치 / 나물 / 배추,-,김치 양념 / 무침,✓,✓
139,멸치육수,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 2~3일 / 냉동 1~2개월,직접 낸 육수. 소분 냉동 권장,국수 / 떡국 / 된장찌개,-,국물 베이스,✓,✓
140,명란젓,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1~2주 / 냉동 3~6개월,개봉 후 빠른 섭취. 장기는 냉동,밥 / 계란말이 / 파스타,-,밥반찬 / 구이 / 파스타,✓,✓
141,명태,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 최대 6개월,기름 적은 흰살 생선. 동태·황태·북어·코다리 등 가공 형태에 따라 다름,무 / 두부 / 대파,-,찌개 / 전 / 찜,✓,✓
142,모짜렐라치즈,냉장,0~4℃,개봉 후 생모차렐라 3~5일 / 슈레드 1~2주,생모차렐라는 액체 속 보관,토마토 / 바질 / 올리브유 / 피자,-,녹이기 / 피자 / 샐러드,✓,✓
143,목이버섯,실온(건조)/냉장(생),건조 실온 / 생 냉장 0~4℃,건조 1년 / 생 냉장 5~7일,건조 제품이 일반적. 불려서 사용,잡채 / 해파리냉채 / 팔보채,-,불리기 / 볶음 / 무침,✓,✓
144,무,냉장,0℃,2~3주,농진청: 0℃ 저장. 잎 제거 후 신문지로 감싸 냉장,생선 / 메밀 / 소고기,-,국 / 조림 / 생채,✓,✓
145,무청,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,생 냉장 3일 / 데쳐서 냉동 6개월,시래기 재료. 데쳐서 냉동 가능,된장 / 들깨가루 / 고등어,-,말려 시래기 / 된장국 / 나물,✓,✓
146,묵은지,냉장,0~4℃ (김치냉장고 권장),김치냉장고 1년 이상,오래 발효된 김치. 김치냉장고 최적,돼지고기 / 고등어 / 참치,-,찜 / 볶음 / 찌개,✓,✓
147,문어,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 2~3개월,삶아서 소분 냉동 권장. 해동 후 재냉동 금지,초고추장 / 무 / 감자,고사리,숙회 / 볶음 / 샤브샤브,✓,✓
148,물,실온/냉장,실온 건냉소 / 냉장,생수 유통기한 / 개봉 후 1~2주,직사광선 피하기. 개봉 후 냉장 권장,모든 요리의 기본,-,끓이기 / 희석,✓,✓
149,물엿,실온,밀폐 건냉소,개봉 전 유통기한 / 개봉 후 6개월~1년,냉장 불필요. 굳음 방지 위해 실온,조림 / 장조림 / 떡볶이,-,양념 / 윤기 내기,✓,✓
150,미나리,냉장,0~4℃,5~7일,물에 담가 냉장. 또는 젖은 신문지 감싸,복어 / 아귀찜 / 삼겹살,-,무침 / 전 / 탕 고명,✓,✓
151,미림,실온,건냉소,개봉 전 2~3년 / 개봉 후 1년,일본식 조리용 술,생선 조림 / 일식 요리 / 데리야끼,-,조림 / 양념 / 데리야끼,✓,✓
152,미소된장,냉장,0~10℃,개봉 전 유통기한 / 개봉 후 냉장 6개월~1년,일본식 된장. 발효식품. 개봉 후 냉장,두부 / 미역 / 연어,-,국 / 양념 / 드레싱,✓,✓
153,미역,실온,밀폐 건냉소,건조 1~2년,건조 해조류. 밀폐 필수. 습기 주의,두부 / 소고기 / 굴,-,국 / 무침 / 냉국,✓,✓
154,미역줄기,냉장,0~4℃,염장품 냉장 6개월~1년 / 개봉 후 1~2주,주로 염장 제품. 개봉 후 밀봉 냉장,참기름 / 마늘 / 간장,-,볶음 / 무침,✓,✓
155,미원,실온,밀폐 건냉소,개봉 전 유통기한 / 개봉 후 1년,MSG. 밀폐 보관. 습기 주의,국물 요리 전반,-,조미료,✓,✓
156,미트볼,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~4일(조리 후) / 냉동 2~3개월,조리 후 냉장. 재료는 다진 고기 기준(1~2일),토마토소스 / 파스타 / 빵,-,구이 / 튀김 / 스튜,✓,✓
157,밀가루,실온,밀폐 건냉소,개봉 전 1년 / 개봉 후 6개월 / 통밀은 3개월,밀폐 필수. 습기·벌레 주의. 통밀은 산패 빠름,이스트 / 버터 / 계란,-,반죽 / 튀김옷 / 수제비,✓,✓
158,바게트,실온/냉동,실온 건냉소 / 냉동 -18℃,실온 1~2일 / 냉동 1~2개월,빠른 섭취 권장. 굳으면 오븐 데우기,버터 / 치즈 / 올리브유,-,샌드위치 / 구이 / 수프,✓,✓
159,바나나,실온,11~15℃ (냉장 시 저온장해),검은 반점 후 3일 이내 섭취,농진청: 냉장 시 저온장해로 껍질 검게 변함. 꼭지 랩으로 감싸면 숙성 지연,우유 / 땅콩버터 / 꿀,-,생식 / 스무디 / 베이킹,✓,✓
160,바베큐소스,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 4개월,개봉 후 냉장 필수,돼지 등갈비 / 치킨 / 햄버거,-,양념 / 소스 / 글레이즈,✓,✓
161,바지락,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 2~3개월,해감 후 지퍼백 밀봉. 염도 3% 소금물로 2시간 이상 해감,미역 / 파스타 / 마늘,-,국 / 찜 / 파스타,✓,✓
162,바질,냉장,4~10℃ (저온 민감),5~7일,0℃ 저장 시 갈변. 물 컵에 담가 실온 가능,토마토 / 모짜렐라 / 올리브유,-,페스토 / 샐러드 / 가니시,✓,✓
163,바질페스토,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,개봉 후 냉장 1~2주 / 냉동 3~6개월,바질 산화 빠름. 윗면에 올리브유 도포 가능,파스타 / 빵 / 닭가슴살,-,소스 / 드레싱 / 비빔,✓,✓
164,박력분,실온,밀폐 건냉소,개봉 전 1년 / 개봉 후 6개월,밀폐 필수. 제과용,버터 / 설탕 / 계란,-,케이크 / 쿠키 / 튀김옷,✓,✓
165,발사믹,실온,밀폐 건냉소,개봉 전 3~5년 / 개봉 후 2~3년,발효 식초. 직사광선 피하기. 냉장 불필요,올리브유 / 토마토 / 딸기,-,드레싱 / 글레이즈 / 소스,✓,✓
166,밤,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,생밤 냉장 1개월 / 냉동 6개월,냉장 시 수분 유지. 깐 밤은 물에 담가 냉장,대추 / 꿀 / 찹쌀,-,삶기 / 구이 / 영양밥,✓,✓
167,밥,실온/냉장/냉동,실온 2시간 내 / 냉장 0~4℃ / 냉동 -18℃,실온 당일 / 냉장 2~3일 / 냉동 1개월,식약처: 상온 방치 시 세균 번식. 냉장 시 전분 노화. 냉동이 맛 유지 가장 나음,김 / 김치 / 계란,-,짓기 / 볶음 / 비빔,✓,✓
168,방울토마토,실온/냉장,실온 10~15℃ / 냉장 5~10℃,실온 5~7일 / 냉장 1~2주,실온 우선. 장기 보관 시 냉장,모짜렐라 / 바질 / 올리브유,-,생식 / 구이 / 샐러드,✓,✓
169,배,냉장(김치냉장고 권장),0℃ / 상대습도 90~95%,1~3개월,농진청 기준. 김치냉장고 적합. 에틸렌 민감 품목과 분리 보관,고기 양념 / 무침 / 생강,-,생식 / 양념 / 음료,✓,✓
170,배추,냉장,0℃ / 습도 90~95%,2~3주,농진청: 투명 비닐/랩 포장. 0℃ 유지가 중요,된장 / 굴 / 고춧가루,-,김치 / 국 / 쌈,✓,✓
171,백김치,냉장,0~4℃ (김치냉장고 권장),김치냉장고 2~3개월,담백한 김치. 김치냉장고 권장,돼지고기 / 전 / 수육,-,반찬 / 쌈 / 국물,✓,✓
172,백미,실온,밀폐 건냉소 15~20℃,밀폐 실온 6개월~1년 / 냉장 2년,도정 후 맛 점점 저하. 밀폐 보관 필수. 여름철 냉장 권장,반찬 전반 / 김치 / 나물 / 김,-,밥 짓기 / 죽 / 볶음밥,✓,✓
173,버섯,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 5~7일 / 냉동 3~6개월,키친타월 감싸 밀폐 냉장. 종류별로 조금씩 다름,소고기 / 마늘 / 버터,-,볶음 / 구이 / 찌개,✓,✓
174,버터,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 개봉 후 2~3개월 / 냉동 6~9개월,잘 밀봉해서 냉동 시 9개월 가능(코메디닷컴). 산패 방지 차광 필수,빵 / 감자 / 스테이크,-,스프레드 / 조리 / 베이킹,✓,✓
175,베이글,실온/냉동,실온 건냉소 / 냉동 -18℃,실온 2~3일 / 냉동 2~3개월,소분 냉동 권장. 토스터 해동,크림치즈 / 연어 / 아보카도,-,토스트 / 샌드위치,✓,✓
176,베이컨,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 개봉 전 1~2주 / 개봉 후 1주 / 냉동 1개월,USDA: 베이컨 냉동 1개월. 리스테리아 균 주의,계란 / 양배추 / 샐러드,-,굽기 / 볶음 / 토핑,✓,✓
177,베이킹소다,실온,밀폐 건냉소,2년,밀폐 보관. 습기 주의,산성 재료 / 버터밀크 / 식초,-,베이킹 / 청소,✓,✓
178,베이킹파우더,실온,밀폐 건냉소,개봉 후 6개월~1년,밀폐 필수. 습기 시 효과 감소,밀가루 / 설탕,-,베이킹,✓,✓
179,베트남고추,실온,밀폐 건냉소,1~2년,건조 고추. 밀폐 필수,쌀국수 / 팟타이 / 태국식 요리,-,고명 / 양념,✓,✓
180,병아리콩,실온,밀폐 건냉소,건조 실온 1~2년,밀폐 보관. 삶은 것은 냉동 가능,올리브유 / 마늘 / 레몬,-,삶기 / 후무스 / 스튜,✓,✓
181,보리,실온,밀폐 건냉소,밀폐 실온 6개월~1년,밀폐 보관. 장기 보관 시 냉장,쌀 / 콩 / 된장,-,밥 짓기 / 차 / 미숫가루,✓,✓
182,복숭아,냉장(냉장실),천도·황도 5~8℃ / 백도 8~10℃,1주 이내,농진청: 저온장해 민감. 김치냉장고 X. 실온 2~3일 후숙도 가능,요거트 / 우유 / 바나나,-,생식 / 통조림 / 잼,✓,✓
183,봄동,냉장,0~4℃,5~7일,밀봉 냉장. 수분 유지,된장 / 초고추장 / 들기름,-,겉절이 / 쌈 / 된장국,✓,✓
184,부라타치즈,냉장,0~4℃,개봉 후 2~3일,부드러운 치즈. 매우 변질 빠름. 구입 당일~1~2일 내 섭취,토마토 / 바질 / 올리브유 / 꿀,-,생식 / 샐러드,✓,✓
185,부추,냉장,0~4℃,5~7일,씻지 않고 키친타월 감싸 냉장,된장 / 돼지고기 / 계란,-,무침 / 전 / 볶음,✓,✓
186,부침가루,실온,밀폐 건냉소,개봉 전 1~2년 / 개봉 후 6개월,밀폐 필수,애호박 / 김치 / 부추,-,전 / 부침,✓,✓
187,북어채,실온/냉장/냉동,밀폐 건냉소,실온 2~3개월 / 냉장 6개월 / 냉동 1년,건조된 명태. 습기 주의. 밀폐용기 보관,계란 / 콩나물 / 대파,-,국 / 무침 / 볶음,✓,✓
188,분유,실온,밀폐 건냉소,개봉 전 유통기한(1~2년) / 개봉 후 1개월,개봉 후 빠르게 소비. 습기 주의,물 / 베이킹,-,음용 / 베이킹,✓,✓
189,불닭볶음면,실온,밀폐 건냉소,개봉 전 유통기한(6개월 이상),직사광선 피하기,치즈 / 계란,-,끓이기 / 볶음,✓,✓
190,불닭소스,실온/냉장,실온 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 6개월~1년,산도 있어 비교적 장기 보관,치킨 / 떡볶이 / 짜장,-,양념 / 소스,✓,✓
191,브로콜리,냉장,0~4℃,1주,농진청: 꽃 피기 전 섭취. 키친타월과 함께 숨구멍 낸 비닐에 냉장,소고기 / 마늘 / 올리브유,-,데침 / 볶음 / 수프,✓,✓
192,블랙올리브,냉장,0~4℃,개봉 후 냉장 1~2개월,액 속 보관 필수,피자 / 파스타 / 샐러드,-,토핑 / 샐러드 / 타파스,✓,✓
193,블루베리,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1~2주 / 냉동 6~12개월,씻지 않고 밀폐 보관. 냉동 시 안토시아닌 보존,요거트 / 팬케이크 / 크림치즈,-,생식 / 베이킹 / 잼,✓,✓
194,비빔면,실온,밀폐 건냉소,개봉 전 유통기한,직사광선 피하기,상추 / 오이 / 계란,-,삶기 / 비빔,✓,✓
195,비엔나소세지,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,개봉 후 냉장 3~5일 / 냉동 1~2개월,가공육. USDA 기준 냉동 1~2개월,케찹 / 계란 / 양파,-,굽기 / 볶음 / 꼬치,✓,✓
196,빵,실온/냉동,실온 건냉소 / 냉동 -18℃,실온 3~7일 / 냉동 2~3개월,냉장은 전분 노화로 빨리 딱딱해짐(비권장). 장기 보관은 냉동,버터 / 잼 / 치즈,오렌지주스,토스트 / 샌드위치 / 프렌치토스트,✓,✓
197,빵가루,실온/냉동,실온 밀폐 / 냉동 -18℃,개봉 후 실온 1개월 / 냉동 6개월,밀폐 필수. 습기 주의. 장기 보관 시 냉동,달걀물 / 고기,-,튀김옷 / 미트볼 바인더,✓,✓
198,사골육수,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,개봉 후 냉장 2~3일 / 냉동 3~6개월,개봉 후 빠른 사용. 냉동 권장,떡국 / 만둣국 / 국수,-,국물 베이스,✓,✓
199,사과,냉장(김치냉장고 권장),0℃ / 상대습도 90~95%,2~3개월 (품종·상태에 따라),농진청: 저온에 강해 김치냉장고 적합. 에틸렌 다량 방출로 다른 과일·채소와 분리 보관 필수,돼지고기 / 땅콩버터 / 시나몬,-,생식 / 베이킹 / 주스,✓,✓
200,잼,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 6개월,개봉 후 냉장 필수. 곰팡이 주의,빵 / 요거트 / 치즈,-,스프레드 / 토핑,✓,✓
201,사이다,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 1~3일,개봉 후 냉장,매실청 / 하이볼 / 화채,-,음용 / 고기 연화,✓,✓
202,살사소스,냉장,0~4℃,개봉 후 냉장 2~4주,개봉 후 냉장,또띠아 / 나초 / 아보카도,-,소스 / 딥,✓,✓
203,삼겹살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,지방 많아 산패 주의. 진공포장·소분 냉동 권장,상추 / 마늘 / 새우젓 / 깻잎,-,구이 / 수육 / 보쌈,✓,✓
204,삼치,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 2~3개월,등푸른 기름진 생선. 히스타민 위험. 냉장 7일 이내 섭취. 내장 제거 후 소분 냉동,무 / 생강 / 대파,-,구이 / 조림 / 찜,✓,✓
205,상추,냉장,0~4℃,5~7일,농진청: 씻지 않고 키친타월 감싸 밀폐. 습기·건조 둘 다 주의,삼겹살 / 된장 / 마늘,-,쌈 / 샐러드 / 겉절이,✓,✓
206,새송이버섯,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 2~3주 / 냉동 6개월,수분 적어 저장성 좋음. 키친타월 감싸 밀폐 냉장,소고기 / 마늘 / 버터,-,구이 / 볶음 / 전,✓,✓
207,새우,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 3~6개월,머리/내장 제거 후 물기 제거 / 비닐팩 밀봉 냉동. 해동 후 재냉동 금지,마늘 / 레몬 / 아욱,맥주,구이 / 튀김 / 볶음,✓,✓
208,새우젓,냉장/냉동,냉장 0~10℃ / 냉동 -18℃,냉장 6개월~1년 / 냉동 1~2년,염도 높아 냉동에서도 얼지 않음. 김장용·일반용 공통,돼지고기 / 달걀찜 / 편육,-,양념 / 찜 / 간,✓,✓
209,샐러드,냉장,0~4℃,당일~2일,드레싱 안 뿌린 상태 기준. 개봉 후 빠른 섭취,드레싱 / 닭가슴살 / 아보카도,-,생식 / 무침,✓,✓
210,샐러리,냉장,0~4℃,2~3주,호일에 감싸 냉장하면 더 오래,땅콩버터 / 사과 / 토마토 수프,-,생식 / 수프 베이스 / 스틱,✓,✓
211,생강,냉장/냉동,냉장 0~5℃ / 냉동 -18℃,통 냉장 1달 / 다진 것 냉동 3~6개월,흙 제거 후 신문지·지퍼백. 다져서 냉동 가능,꿀 / 대추 / 생선 / 닭,-,차 / 양념 / 편,✓,✓
212,생강가루,실온,밀폐 건냉소,2~3년,밀폐 필수,베이킹 / 차 / 마리네이드,-,양념 / 베이킹,✓,✓
213,생강청,냉장,0~10℃,6개월~1년,냉장 필수,물 / 레몬 / 꿀,-,음용 / 양념,✓,✓
214,생닭,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 통닭 12개월,USDA: 통닭 냉동 12개월. 2일 이내 사용·냉동,인삼 / 마늘 / 대추 / 찹쌀,-,삶기 / 구이 / 튀김,✓,✓
215,생크림,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 3~5일,동물성 크림은 변질 빠름. 밀봉·냉장 유지,딸기 / 커피 / 파스타,-,휘핑 / 소스 / 베이킹,✓,✓
216,샤인머스켓,냉장(김치냉장고 권장),0~4℃,1~2주,포도과. 씻지 않고 냉장. 먹기 직전 세척,요거트 / 치즈 / 샴페인,-,생식 / 샐러드,✓,✓
217,설탕,실온,밀폐 건냉소,무기한(밀폐 시),자체 방부 역할. 밀폐 보관. 냄새 흡수 주의,베이킹 전반 / 차 / 커피,-,감미료 / 캐러멜,✓,✓
218,소 등심,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~12개월,스테이크용. 진공포장 시 냉장 2주. USDA 기준 냉동 장기보관 가능,버터 / 마늘 / 로즈마리,-,스테이크 / 구이,✓,✓
219,소 안심,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~12개월,가장 부드러운 부위. 스테이크용. 진공포장 시 냉장 2주,버터 / 로즈마리 / 후추,-,스테이크 / 구이,✓,✓
220,소 채끝살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~12개월,스테이크용. 진공포장 시 냉장 2주,소금 / 후추 / 마늘,-,스테이크 / 구이,✓,✓
221,소고기,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 3~6개월,부위별 보관기간 다름. 진공포장 시 냉장 2주 가능. 산소 노출 시 갈변 빠름,배 / 부추 / 버섯 / 깻잎,감·녹차·홍차·커피 등 탄닌 고함유 식품,구이 / 국 / 볶음,✓,✓
222,소고기 갈비,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~12개월,양념 후 냉동 시 2~3개월 이내 소비 권장. LA갈비·생갈비 동일 기준,배 / 양파 / 마늘,-,구이 / 찜 / 양념구이,✓,✓
223,소고기 목살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,구이·국거리. 진공포장 시 냉장 2주,간장 / 양파 / 마늘,-,구이 / 찜 / 조림,✓,✓
224,소고기 사태,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,장조림·수육용. 진공포장 시 냉장 2주,무 / 대파 / 간장,-,장조림 / 수육 / 육개장,✓,✓
225,소고기 앞다리살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,국·볶음용. 진공포장 시 냉장 2주,된장 / 고추장 / 양파,-,국거리 / 장조림 / 볶음,✓,✓
226,소고기 우둔,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,육회·장조림용. 진공포장 시 냉장 2주,간장 / 배 / 참기름,-,육회 / 장조림 / 육포,✓,✓
227,소금,실온,밀폐 건냉소,무기한(밀폐 시),자체 방부 역할. 습기만 피하면 됨,간 맞춤 전반 / 절임,-,간 맞춤 / 절임,✓,✓
228,소라,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1일 / 냉동 2~3개월,살아있는 것 우선. 손질 후 소분 냉동,초고추장 / 오이,-,삶기 / 회 / 무침,✓,✓
229,소면,실온,밀폐 건냉소,1~2년,건면. 밀폐 보관. 습기 주의,멸치 육수 / 비빔장 / 계란지단 / 골뱅이,-,삶기 / 국수 / 비빔,✓,✓
230,소세지,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 개봉 전 제품 유통기한 / 개봉 후 3~5일 / 냉동 1~2개월,USDA: 소시지 냉동 1~2개월,양파 / 케찹 / 머스타드 / 김치,-,굽기 / 볶음 / 삶기,✓,✓
231,소주,실온,건냉소,미개봉 무기한 / 개봉 후 권장 내 소비,증류주. 병 기준 사실상 유통기한 없음,삼겹살 / 회 / 국물안주,-,음용 / 요리용(잡내 제거),✓,✓
232,수박,실온→냉장(자른 후),실온 10~15℃ / 자른 후 냉장 0~4℃,통째 실온 1~2주 / 자른 것 냉장 3~5일,통째로는 서늘한 실온. 자르면 즉시 냉장 밀봉,페타치즈 / 민트 / 얼음,-,생식 / 주스 / 화채,✓,✓
233,숙주,냉장,0~4℃,2~3일,변질 매우 빠름. 구입 즉시 섭취 권장,쌀국수 / 불고기 / 마늘 / 돼지고기 볶음,-,데침 / 볶음 / 무침,✓,✓
234,순대,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1~2일 / 냉동 1~2개월,변질 빠름. 장기는 냉동,소금 / 떡볶이 국물 / 들깨가루,-,찜 / 볶음 / 튀김,✓,✓
235,순두부,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 1~2일,수분 많아 변질 빠름. 빠른 사용,바지락 / 계란 / 해산물,-,찌개 / 생식 / 찜,✓,✓
236,슈가파우더,실온,밀폐 건냉소,무기한(밀폐 시),밀폐 필수. 습기 시 굳음,베이킹 전반 / 도넛 토핑 / 아이싱,-,토핑 / 아이싱,✓,✓
237,스리라차소스,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 1~2년,산도 높음. 개봉 후 냉장 권장,쌀국수 / 볶음면 / 샌드위치,-,양념 / 소스 / 딥,✓,✓
238,스테비아,실온,밀폐 건냉소,유통기한 참조,천연 감미료. 밀폐 보관,음료 / 저당 베이킹 / 커피,-,감미료,✓,✓
239,스테이크소스,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 1년,개봉 후 냉장,스테이크 / 햄버거 / 함박,-,소스,✓,✓
240,스파게티면,실온,밀폐 건냉소,건면 1~2년,밀폐 필수,토마토소스 / 올리브유 / 마늘 / 파마산치즈,-,삶기 / 파스타,✓,✓
241,슬라이스치즈,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 1~2주,가공치즈. 개봉 후 밀봉 보관,햄 / 빵 / 계란,-,샌드위치 / 토스트,✓,✓
242,슬라이스햄,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 3~5일,슬라이스 가공품. 개봉 후 빠른 섭취. 냉동 시 1개월 이내,치즈 / 빵 / 계란,-,샌드위치 / 부침 / 굽기,✓,✓
243,시금치,냉장,0~4℃,3~5일,농진청: 씻지 않고 키친타월+비닐. 잎채소는 습도 90~95%,참깨 / 계란 / 마늘,-,무침 / 국 / 볶음,✓,✓
